"id","mc","style","duration_1","duration_2","duration_3","interviewer","language","deviations/notes","stage","detail","interview","activity","critical","start_slope","end_slope"
14,"MC2","sos",NA,NA,NA,"Hanna","Eng",NA,"int1_st3",0,0,2,0,0,2
14,"MC2","sos",NA,NA,NA,"Hanna","Eng",NA,"int1_st4",0,0,3,1,0,3
14,"MC2","sos",NA,NA,NA,"Hanna","Eng",NA,"int1_st5",0,0,4,1,0,4
14,"MC2","sos",NA,NA,NA,"Hanna","Eng",NA,"int2_st1",0,1,0,0,0,0
14,"MC2","sos",NA,NA,NA,"Hanna","Eng",NA,"int2_st2",1,1,1,0,1,0
14,"MC2","sos",NA,NA,NA,"Hanna","Eng",NA,"int2_st3",0,1,2,0,1,1
14,"MC2","sos",NA,NA,NA,"Hanna","Eng",NA,"int2_st4",0,1,3,1,1,2
14,"MC2","sos",NA,NA,NA,"Hanna","Eng",NA,"int2_st5",0,1,4,1,1,3
14,"MC2","sos",NA,NA,NA,"Hanna","Eng",NA,"int3_st1",0,2,0,0,0,0
14,"MC2","sos",NA,NA,NA,"Hanna","Eng",NA,"int3_st2",1,2,1,0,1,0
14,"MC2","sos",NA,NA,NA,"Hanna","Eng",NA,"int3_st3",0,2,2,0,2,0
14,"MC2","sos",NA,NA,NA,"Hanna","Eng",NA,"int3_st4",0,2,3,1,2,1
14,"MC2","sos",NA,NA,NA,"Hanna","Eng",NA,"int3_st5",0,2,4,1,2,2
15,"MC2","direct",NA,NA,NA,"Minna","Swe",NA,"int1_st1",5,0,0,0,0,0
15,"MC2","direct",NA,NA,NA,"Minna","Swe",NA,"int1_st2",1,0,1,0,0,1
15,"MC2","direct",NA,NA,NA,"Minna","Swe",NA,"int1_st3",1,0,2,0,0,2
15,"MC2","direct",NA,NA,NA,"Minna","Swe",NA,"int1_st4",2,0,3,1,0,3
15,"MC2","direct",NA,NA,NA,"Minna","Swe",NA,"int1_st5",1,0,4,1,0,4
15,"MC2","direct",NA,NA,NA,"Minna","Swe",NA,"int2_st1",5,1,0,0,0,0
15,"MC2","direct",NA,NA,NA,"Minna","Swe",NA,"int2_st2",1,1,1,0,1,0
15,"MC2","direct",NA,NA,NA,"Minna","Swe",NA,"int2_st3",1,1,2,0,1,1
15,"MC2","direct",NA,NA,NA,"Minna","Swe",NA,"int2_st4",2,1,3,1,1,2
